metabolite,refmet_id,super_class,main_class,chebi_id,chebi_all,pubchem_cid,inchi_key,kegg_id,platform_adipose,platform_blood,platform_muscle
1-Methyl nicotinamide,RM0030166,Alkaloids,Pyridine alkaloids,CHEBI:16797,CHEBI:16797,457,LDHMAVIPBRSVRG-UHFFFAOYSA-O,C02918,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
1-Methyladenosine,RM0156409,Nucleic acids,Purines,CHEBI:16020,CHEBI:16020,27476,GFYLSDSUCHVORB-IOSLPCCCSA-N,C02494,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
2-Acetylpyrrolidine,RM0029837,Alkaloids,Ornithine alkaloids,CHEBI:166577,CHEBI:166577,550747,FYCFJMPASVKULQ-UHFFFAOYSA-N,,metab-u-rppos,metab-u-rppos,metab-u-rppos
2-Hydroxy-3-methylbutyric acid,RM0153673,Fatty Acyls,Fatty acids,CHEBI:60631,CHEBI:60631,853180,NGEWQZIDQIYUNV-BYPYZUCNSA-N,,metab-u-rppos,metab-u-rppos,metab-u-rppos
2-Hydroxybutyric acid,RM0153654,Fatty Acyls,Fatty acids,CHEBI:1148,CHEBI:1148,11266,AFENDNXGAFYKQO-UHFFFAOYSA-N,C05984,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
2-Hydroxyglutaric acid,RM0153554,Fatty Acyls,Fatty acids,CHEBI:17084,CHEBI:17084,43,HWXBTNAVRSUOJR-UHFFFAOYSA-N,,metab-t-tca,metab-t-tca,metab-t-tca
2-Oxoglutaric acid,RM0135911,Organic acids,TCA acids,CHEBI:30915,CHEBI:30915,51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
2-Piperidinone,RM0016041,Organoheterocyclic compounds,Piperidines,CHEBI:77761,CHEBI:77761,12665,XUWHAWMETYGRKB-UHFFFAOYSA-N,,metab-u-rppos,metab-u-rppos,metab-u-rppos
3-Hydroxybenzoic acid,RM0136191,Benzenoids,Benzoic acids,CHEBI:30764,CHEBI:30764,7420,IJFXRHURBJZNAO-UHFFFAOYSA-N,C00587,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
3-Hydroxybutyric acid,RM0153056,Fatty Acyls,Fatty acids,CHEBI:20067,CHEBI:20067,441,WHBMMWSBFZVSSR-UHFFFAOYSA-N,C01089,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
3-Hydroxyphenyl valeric acid,RM0152303,Fatty Acyls,Fatty acids,CHEBI:137517,CHEBI:137517,10559720,CMLIEOOXQFWANJ-UHFFFAOYSA-N,,metab-u-rppos,metab-u-rppos,metab-u-rppos
3-Indolepropionic acid,RM0136180,Alkaloids,Tryptophan alkaloids,CHEBI:43580,CHEBI:43580,3744,GOLXRNDWAUTYKT-UHFFFAOYSA-N,,metab-u-rppos,metab-u-hilicpos,metab-u-rppos
3-Methyl-2-oxovaleric acid,RM0118344,Organic acids,Keto acids,CHEBI:35932,CHEBI:35932,47,JVQYSWDUAOAHFM-UHFFFAOYSA-N,C06008,metab-t-ka,metab-u-rpneg,metab-u-rpneg
5'-Methylthioadenosine,RM0136067,Nucleic acids,Purines,CHEBI:17509,CHEBI:17509,439176,WUUGFSXJNOTRMR-IOSLPCCCSA-N,C00170,metab-u-hilicpos,metab-u-rppos,metab-u-rppos
5-Hydroxytryptophol,RM0006649,Alkaloids,Tryptophan alkaloids,CHEBI:89825,CHEBI:89825,9061,KQROHCSYOGBQGJ-UHFFFAOYSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
5alpha-Androstane-3alpha-ol-17-one sulfate,RM0125907,Sterol Lipids,Steroids,CHEBI:83037,CHEBI:83037,159663,ZMITXKRGXGRMKS-HLUDHZFRSA-N,C04555,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
9S-HODE,RM0140000,Fatty Acyls,Octadecanoids,CHEBI:34496,CHEBI:34496,5312830,NPDSHTNEKLQQIJ-UINYOVNOSA-N,C14767,metab-t-oxylipneg,metab-t-oxylipneg,metab-t-oxylipneg
Acisoga,RM0021446,Alkaloids,Ornithine alkaloids,CHEBI:133185,CHEBI:133185,129397,OAUYENAPBFTAQT-UHFFFAOYSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Adenosine,RM0135870,Nucleic acids,Purines,CHEBI:16335,CHEBI:16335,60961,OIRDTQYFTABQOQ-KQYNXXCUSA-N,C00212,metab-u-hilicpos,metab-u-hilicpos,metab-u-ionpneg
ADP,RM0032913,Nucleic acids,Purines,CHEBI:16761,CHEBI:16761,6022,XTWYTFMLZFPYCI-KQYNXXCUSA-N,C00008,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
Alanine,RM0135898,Organic acids,Amino acids and peptides,CHEBI:16977,CHEBI:16977;CHEBI:57972,5950,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C00041,metab-u-hilicpos,metab-u-hilicpos,metab-u-ionpneg
alpha-N-Phenylacetylglutamine,RM0056200,Organic acids,Amino acids and peptides,CHEBI:17884,CHEBI:17884,92258,JFLIEFSWGNOPJJ-JTQLQIEISA-N,C04148,metab-u-hilicpos,metab-u-hilicpos,metab-u-rpneg
alpha-Tocoquinone,RM0011482,Prenol Lipids,Quinones and hydroquinones,"","",2734086,LTVDFSLWFKLJDQ-IEOSBIPESA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Aminobutyric acid,RM0073571,Fatty Acyls,Fatty acids,"","","","",,metab-u-rppos,metab-u-hilicpos,metab-u-rppos
AMP,RM0138921,Nucleic acids,Purines,CHEBI:16027,CHEBI:16027,6083,UDMBCSSLTHHNCD-KQYNXXCUSA-N,C00020,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
Arachidic acid,RM0137828,Fatty Acyls,Fatty acids,CHEBI:28822,CHEBI:28822,10467,VKOBVWXKNCXXDE-UHFFFAOYSA-N,C06425,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Arachidonic acid,RM0153612,Fatty Acyls,Fatty acids,CHEBI:15843,CHEBI:15843,444899,YZXBAPSDXZZRGB-DOFZRALJSA-N,,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
Arginine,RM0135963,Organic acids,Amino acids and peptides,CHEBI:16467,CHEBI:16467,6322,ODKSFYDXXFIFQN-BYPYZUCNSA-N,C00062,metab-u-hilicpos,metab-u-lrppos,metab-u-hilicpos
Asparagine,RM0135724,Organic acids,Amino acids and peptides,CHEBI:17196,CHEBI:17196;CHEBI:58048,6267,DCXYFEDJOCDNAF-REOHCLBHSA-N,C00152,metab-t-amines,metab-u-hilicpos,metab-u-ionpneg
Aspartic acid,RM0135905,Organic acids,Amino acids and peptides,CHEBI:17053,CHEBI:17053,5960,CKLJMWTZIZZHCS-REOHCLBHSA-N,C00049,metab-u-hilicpos,metab-u-ionpneg,metab-u-ionpneg
ATP,RM0138930,Nucleic acids,Purines,CHEBI:15422,CHEBI:15422,5957,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,C00002,metab-t-nuc,metab-u-ionpneg,metab-u-ionpneg
Azelaic acid,RM0153048,Fatty Acyls,Fatty acids,CHEBI:48131,CHEBI:48131,2266,BDJRBEYXGGNYIS-UHFFFAOYSA-N,C08261,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Behenic acid,RM0153577,Fatty Acyls,Fatty acids,CHEBI:28941,CHEBI:28941,8215,UKMSUNONTOPOIO-UHFFFAOYSA-N,C08281,metab-u-lrpneg,metab-u-rpneg,metab-u-lrpneg
Benzyl butyl phthalate,RM0013156,Benzenoids,Benzoic acids,CHEBI:34595,CHEBI:34595,2347,IRIAEXORFWYRCZ-UHFFFAOYSA-N,C14211,metab-u-rppos,metab-u-rppos,metab-u-rppos
beta-Alanine,RM0021629,Organic acids,Amino acids and peptides,CHEBI:16958,CHEBI:16958;CHEBI:57966,239,UCMIRNVEIXFBKS-UHFFFAOYSA-N,C00099,metab-t-amines,metab-t-amines,metab-u-hilicpos
Betaine,RM0135869,Organic acids,Amino acids and peptides,CHEBI:17750,CHEBI:17750,247,KWIUHFFTVRNATP-UHFFFAOYSA-N,C00719,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Biliverdin,RM0136810,Organoheterocyclic compounds,Bilirubins,CHEBI:17033,CHEBI:17033,5280353,QBUVFDKTZJNUPP-BBROENKCSA-N,C00500,metab-u-hilicpos,metab-u-rppos,metab-u-rppos
bis(2-Ethylhexyl)phthalic acid,RM0108957,Benzenoids,Benzenes,CHEBI:165212,CHEBI:165212,19752116,XZYRJVLKSRQAGD-UHFFFAOYSA-N,,metab-u-rppos,metab-u-rppos,metab-u-rppos
C1-DeoxyCer 18:0;O/24:1,"","","","","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
C16 Sphinganine,RM0135377,Sphingolipids,Sphingoid bases,CHEBI:71050,CHEBI:71050,656816,ZKLREJQHRKUJHD-JKSUJKDBSA-N,C13915,metab-u-rppos,metab-u-hilicpos,metab-u-rppos
C16 Sphingosine,RM0135428,Sphingolipids,Sphingoid bases,CHEBI:71052,CHEBI:71052,14767871,BTUSGZZCQZACPT-YYZTVXDQSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Caffeine,RM0032992,Nucleic acids,Purines,CHEBI:27732,CHEBI:27732,2519,RYYVLZVUVIJVGH-UHFFFAOYSA-N,C07481,metab-u-hilicpos,metab-u-hilicpos,metab-u-rppos
Capric acid,RM0153468,Fatty Acyls,Fatty acids,CHEBI:30813,CHEBI:30813,2969,GHVNFZFCNZKVNT-UHFFFAOYSA-N,C01571,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
CAR 10:0,RM0153849,Fatty Acyls,Fatty esters,CHEBI:28717,CHEBI:28717,11953821,LZOSYCMHQXPBFU-OAHLLOKOSA-N,C03299,metab-u-rppos,metab-u-hilicpos,metab-u-rppos
CAR 12:0,RM0154012,Fatty Acyls,Fatty esters,CHEBI:77086,CHEBI:77086,168381,FUJLYHJROOYKRA-QGZVFWFLSA-N,,metab-u-rppos,metab-u-hilicpos,metab-u-rppos
CAR 14:0,RM0154013,Fatty Acyls,Fatty esters,CHEBI:84634,CHEBI:84634,53477791,PSHXNVGSVNEJBD-LJQANCHMSA-N,,metab-u-rppos,metab-u-lrppos,metab-u-rppos
CAR 14:1,RM0154190,Fatty Acyls,Fatty esters,"","","","",,metab-u-rppos,metab-u-lrppos,metab-u-rppos
CAR 16:0,RM0153848,Fatty Acyls,Fatty esters,CHEBI:17490,CHEBI:17490,11953816,XOMRRQXKHMYMOC-OAQYLSRUSA-N,C02990,metab-u-hilicpos,metab-u-hilicpos,metab-u-rppos
CAR 16:1,RM0153934,Fatty Acyls,Fatty esters,"","","","",,metab-u-rppos,metab-u-rppos,metab-u-lrppos
CAR 18:0,RM0153850,Fatty Acyls,Fatty esters,CHEBI:84644,CHEBI:84644,52922056,FNPHNLNTJNMAEE-HSZRJFAPSA-N,,metab-u-hilicpos,metab-u-lrppos,metab-u-rppos
CAR 18:1,RM0153915,Fatty Acyls,Fatty esters,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-rppos
CAR 18:2,RM0154158,Fatty Acyls,Fatty esters,"","","","",,metab-u-hilicpos,metab-u-lrppos,metab-u-rppos
CAR 2:0,RM0154009,Fatty Acyls,Fatty esters,CHEBI:86045,CHEBI:86045,18230,RDHQFKQIGNGIED-QMMMGPOBSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-rppos
CAR 3:0,RM0154041,Fatty Acyls,Fatty esters,CHEBI:53210,CHEBI:53210,188824,UFAHZIUFPNSHSL-MRVPVSSYSA-N,C03017,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
CAR 4:0,RM0153847,Fatty Acyls,Fatty esters,CHEBI:21949,CHEBI:21949,213144,QWYFHHGCZUCMBN-SECBINFHSA-N,C02862,metab-u-hilicpos,metab-u-hilicpos,metab-u-rppos
CAR 4:0;OH,RM0154193,Fatty Acyls,Fatty esters,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
CAR 5:0,RM0154185,Fatty Acyls,Fatty esters,CHEBI:165624,CHEBI:165624,53481619,VSNFQQXVMPSASB-JTQLQIEISA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-rppos
CAR 5:0;OH,RM0154127,Fatty Acyls,Fatty esters,"","","","",,metab-u-rppos,metab-u-rppos,metab-u-rppos
CAR 5:1,RM0156347,Fatty Acyls,Fatty esters,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-rppos
CAR 6:0,RM0153846,Fatty Acyls,Fatty esters,CHEBI:84834,CHEBI:84834,3246938,VVPRQWTYSNDTEA-LLVKDONJSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-rppos
CAR 8:0,RM0154093,Fatty Acyls,Fatty esters,CHEBI:18102,CHEBI:18102,11953814,CXTATJFJDMJMIY-CYBMUJFWSA-N,C02838,metab-u-rppos,metab-u-lrppos,metab-u-rppos
CAR 8:1,RM0154083,Fatty Acyls,Fatty esters,"","","","",,metab-u-rppos,metab-u-rppos,metab-u-hilicpos
Carnitine,RM0008606,Organic nitrogen compounds,Carnitines,CHEBI:16347,CHEBI:16347,10917,PHIQHXFUZVPYII-ZCFIWIBFSA-N,C00487,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Cer 18:1;O2/14:0,RM0135483,Sphingolipids,Ceramides,CHEBI:34863,CHEBI:34863;CHEBI:72957,5282310,ZKRPGPZHULJLKJ-JHRQRACZSA-N,C00195,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Cer 18:1;O2/16:0,RM0135485,Sphingolipids,Ceramides,CHEBI:72959,CHEBI:72959,5283564,YDNKGFDKKRUKPY-TURZORIXSA-N,,metab-u-hilicpos,metab-u-lrppos,metab-u-hilicpos
Cer 18:1;O2/16:1,RM0053718,Sphingolipids,Ceramides,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Cer 18:1;O2/18:0,RM0135486,Sphingolipids,Ceramides,CHEBI:72961,CHEBI:72961,5283565,VODZWWMEJITOND-NXCSZAMKSA-N,C00195,metab-u-hilicpos,metab-u-lrppos,metab-u-lrppos
Cer 18:1;O2/18:1,RM0016373,Sphingolipids,Ceramides,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Cer 18:1;O2/20:0,RM0135487,Sphingolipids,Ceramides,CHEBI:72962,CHEBI:72962,5283566,XWBWIAOWSABHFI-NUKVNZTCSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Cer 18:1;O2/20:1,RM0134178,Sphingolipids,Ceramides,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Cer 18:1;O2/22:0,RM0135488,Sphingolipids,Ceramides,CHEBI:72966,CHEBI:72966,5283567,KEPQASGDXIEOIL-GLQCRSEXSA-N,,metab-u-hilicpos,metab-u-lrppos,metab-u-lrppos
Cer 18:1;O2/22:1,RM0134192,Sphingolipids,Ceramides,"","","","",,metab-u-hilicpos,metab-u-lrppos,metab-u-hilicpos
Cer 18:1;O2/24:0,RM0135489,Sphingolipids,Ceramides,CHEBI:72965,CHEBI:72965,5283571,ZJVVOYPTFQEGPH-AUTSUKAISA-N,,metab-u-hilicpos,metab-u-lrppos,metab-u-lrppos
Cer 18:1;O2/24:1,RM0134169,Sphingolipids,Ceramides,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-lrppos
Cer 18:1;O2/4:0,RM0011492,Sphingolipids,Ceramides,CHEBI:233679,CHEBI:233679,5702612,RNZRMNAKZBZFDZ-WSTOBVJMSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Cer 42:1;O2,RM0138775,Sphingolipids,Ceramides,"","","","",,metab-u-lrpneg,metab-u-lrppos,metab-u-lrpneg
Cholesterol,RM0135639,Sterol Lipids,Sterols,CHEBI:16113,CHEBI:16113,5997,HVYWMOMLDIMFJA-DPAQBDIFSA-N,,metab-u-rppos,metab-u-lrppos,metab-u-lrppos
Cholesterol sulfate,RM0135845,Sterol Lipids,Sterols,CHEBI:41321,CHEBI:41321,65076,BHYOQNUELFTYRT-DPAQBDIFSA-N,,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
Choline,RM0028739,Organic nitrogen compounds,Cholines,CHEBI:15354,CHEBI:15354,305,OEYIOHPDSNJKLS-UHFFFAOYSA-N,C00114,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
cis-Aconitic acid,RM0021619,Organic acids,TCA acids,CHEBI:32805,CHEBI:32805,643757,GTZCVFVGUGFEME-IWQZZHSRSA-N,C00417,metab-t-tca,metab-t-tca,metab-t-tca
Citramalic acid,RM0042389,Organic acids,Hydroxy acids,CHEBI:29003,CHEBI:29003,441696,XFTRTWQBIOMVPK-YFKPBYRVSA-N,C00815,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Citric acid,RM0135884,Organic acids,TCA acids,CHEBI:30769,CHEBI:30769,311,KRKNYBCHXYNGOX-UHFFFAOYSA-N,,metab-t-tca,metab-t-tca,metab-t-tca
Citric acid/Isocitric acid,"","","","","","","",,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
Citrulline,RM0136022,Organic acids,Amino acids and peptides,CHEBI:16349,CHEBI:16349;CHEBI:57743,9750,RHGKLRLOHDJJDR-BYPYZUCNSA-N,C00327,metab-u-hilicpos,metab-u-hilicpos,metab-u-ionpneg
CMP,RM0138923,Nucleic acids,Pyrimidines,CHEBI:17361,CHEBI:17361,6131,IERHLVCPSMICTF-XVFCMESISA-N,C00055,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
Creatine,RM0135876,Organic acids,Amino acids and peptides,CHEBI:16919,CHEBI:16919;CHEBI:57947,586,CVSVTCORWBXHQV-UHFFFAOYSA-N,C00300,metab-u-hilicpos,metab-u-hilicpos,metab-u-ionpneg
Creatinine,RM0028430,Organoheterocyclic compounds,Azoles,CHEBI:16737,CHEBI:16737,137319715,DDRJAANPRJIHGJ-UHFFFAOYSA-N,C00791,metab-u-hilicpos,metab-u-hilicpos,metab-u-ionpneg
Cytidine,RM0138922,Nucleic acids,Pyrimidines,CHEBI:17562,CHEBI:17562,6175,UHDGCWIWMRVCDJ-XVFCMESISA-N,C00475,metab-u-hilicpos,metab-u-rppos,metab-u-rppos
Dehydroepiandrosterone sulfate,RM0028118,Sterol Lipids,Steroids,CHEBI:16814,CHEBI:16814,12594,CZWCKYRVOZZJNM-USOAJAOKSA-N,C04555,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Deoxyguanosine,RM0042978,Nucleic acids,Purines,CHEBI:17172,CHEBI:17172,135398592,YKBGVTZYEHREMT-KVQBGUIXSA-N,C00330,metab-u-rppos,metab-u-rppos,metab-u-rppos
Deoxyuridine,RM0138920,Nucleic acids,Pyrimidines,CHEBI:16450,CHEBI:16450,13712,MXHRCPNRJAMMIM-SHYZEUOFSA-N,C00526,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
DG 16:0_18:1,RM0034278,Glycerolipids,Diradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
DG 18:1_18:1,RM0033995,Glycerolipids,Diradylglycerols,"","","","",,metab-u-rppos,metab-u-lrppos,metab-u-lrppos
DG 18:2_18:2,RM0134347,Glycerolipids,Diradylglycerols,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-lrppos
DG 32:0,RM0033958,Glycerolipids,Diradylglycerols,"","","","",,metab-u-rppos,metab-u-rppos,metab-u-rppos
DG 32:1,RM0134364,Glycerolipids,Diradylglycerols,"","","","",,metab-u-rppos,metab-u-rppos,metab-u-rppos
DG 34:1,RM0138788,Glycerolipids,Diradylglycerols,"","","","",,metab-u-rppos,metab-u-hilicpos,metab-u-rppos
DG 34:2,RM0034129,Glycerolipids,Diradylglycerols,"","","","",,metab-u-lrppos,metab-u-rppos,metab-u-rppos
DG 36:3,RM0035091,Glycerolipids,Diradylglycerols,"","","","",,metab-u-lrppos,metab-u-hilicpos,metab-u-rppos
DHA,RM0153631,Fatty Acyls,Fatty acids,CHEBI:28125,CHEBI:28125,445580,MBMBGCFOFBJSGT-KUBAVDMBSA-N,C06429,metab-u-lrpneg,metab-u-lrpneg,metab-u-rpneg
Diethyl phthalate,RM0137040,Benzenoids,Benzoic acids,CHEBI:34698,CHEBI:34698,6781,FLKPEMZONWLCSK-UHFFFAOYSA-N,C14175,metab-u-rppos,metab-u-rppos,metab-u-rppos
Dimethylarginine,RM0131870,Organic acids,Amino acids and peptides,CHEBI:17929,CHEBI:17929,123831,YDGMGEXADBMOMJ-LURJTMIESA-N,C03626,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Dimethylglycine,RM0135883,Organic acids,Amino acids and peptides,CHEBI:17724,CHEBI:17724;CHEBI:58251,673,FFDGPVCHZBVARC-UHFFFAOYSA-N,C01026,metab-u-rppos,metab-u-hilicpos,metab-u-hilicpos
Docosapentaenoic acid,RM0149942,Fatty Acyls,Fatty acids,"","","","",C16513,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
Docosatetraenoic acid,RM0139662,Fatty Acyls,Fatty acids,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-rpneg
Docosatrienoic acid,RM0153176,Fatty Acyls,Fatty acids,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-rpneg
Docosenoic acid,RM0139671,Fatty Acyls,Fatty acids,"","","","",,metab-u-rpneg,metab-u-rpneg,metab-u-lrpneg
Dodecadienoic acid,RM0151474,Fatty Acyls,Fatty acids,"","","","",,metab-u-rpneg,metab-u-lrpneg,metab-u-rpneg
Edetic acid,RM0030846,Organic acids,Carboxylic acids,CHEBI:4735,CHEBI:4735,6049,KCXVZYZYPLLWCC-UHFFFAOYSA-N,C00284,metab-u-rppos,metab-u-rppos,metab-u-rppos
Eicosadienoic acid,RM0149923,Fatty Acyls,Fatty acids,"","","","",C16525,metab-u-lrpneg,metab-u-lrpneg,metab-u-rpneg
Eicosapentaenoic acid,RM0151646,Fatty Acyls,Fatty acids,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
Eicosatetraenoic acid,RM0152034,Fatty Acyls,Fatty acids,"","","","",,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Eicosatrienoic acid,RM0152308,Fatty Acyls,Fatty acids,"","","","",C16522,metab-u-lrpneg,metab-u-lrpneg,metab-u-rpneg
Eicosenoic acid,RM0150389,Fatty Acyls,Fatty acids,"","","","",C16526,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
EPA,RM0153919,Fatty Acyls,Fatty acids,CHEBI:28364,CHEBI:28364,446284,JAZBEHYOTPTENJ-JLNKQSITSA-N,C06428,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
FAD,RM0138943,Nucleic acids,Flavins,CHEBI:16238,CHEBI:16238,643975,VWWQXMAJTJZDQX-UYBVJOGSSA-N,C00016,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
Fructose 6-phosphate,RM0030190,Carbohydrates,Monosaccharides,CHEBI:16084,CHEBI:16084,440641,BGWGXPAPYGQALX-ARQDHWQXSA-N,C00085,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
Fumaric acid,RM0135891,Organic acids,TCA acids,CHEBI:18012,CHEBI:18012,444972,VZCYOOQTPOCHFL-OWOJBTEDSA-N,C00122,metab-t-tca,metab-u-ionpneg,metab-t-tca
gamma-Aminobutyric acid,RM0153263,Fatty Acyls,Fatty acids,CHEBI:16865,CHEBI:16865;CHEBI:59888,119,BTCSSZJGUNDROE-UHFFFAOYSA-N,C00334,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Gluconic acid,RM0155944,Carbohydrates,Monosaccharides,CHEBI:33198,CHEBI:33198,10690,RGHNJXZEOKUKBD-SQOUGZDYSA-N,C00257,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
Glucose,RM0135901,Carbohydrates,Monosaccharides,CHEBI:4167,CHEBI:4167,5793,WQZGKKKJIJFFOK-GASJEMHNSA-N,C00031,metab-u-ionpneg,metab-t-conv,metab-u-ionpneg
Glutamic acid,RM0135893,Organic acids,Amino acids and peptides,CHEBI:16015,CHEBI:16015;CHEBI:53374,33032,WHUUTDBJXJRKMK-VKHMYHEASA-N,C00025,metab-u-hilicpos,metab-u-hilicpos,metab-u-ionpneg
Glutamine,RM0012560,Organic acids,Amino acids and peptides,CHEBI:18050,CHEBI:18050;CHEBI:58359,5961,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C00064,metab-u-hilicpos,metab-u-hilicpos,metab-u-rpneg
Glutaric acid,RM0155778,Fatty Acyls,Fatty acids,CHEBI:17859,CHEBI:17859,743,JFCQEDHGNNZCLN-UHFFFAOYSA-N,C00489,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Glutathione,RM0135889,Organic acids,Amino acids and peptides,CHEBI:16856,CHEBI:16856;CHEBI:60836,124886,RWSXRVCMGQZWBV-WDSKDSINSA-N,C00051,metab-u-hilicpos,metab-u-ionpneg,metab-u-ionpneg
Glycine,RM0135888,Organic acids,Amino acids and peptides,CHEBI:15428,CHEBI:15428;CHEBI:57305,750,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C00037,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Glycochenodeoxycholic acid,RM0135850,Sterol Lipids,Bile acids,CHEBI:36274,CHEBI:36274,12544,GHCZAUBVMUEKKP-GYPHWSFCSA-N,C05466,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Glycocholic acid,RM0135849,Sterol Lipids,Bile acids,CHEBI:17687,CHEBI:17687,10140,RFDAIACWWDREDC-FRVQLJSFSA-N,C01921,metab-u-rpneg,metab-u-hilicpos,metab-u-rpneg
Glycodeoxycholic acid,RM0125880,Sterol Lipids,Bile acids,CHEBI:27471,CHEBI:27471,3035026,WVULKSPCQVQLCU-BUXLTGKBSA-N,C05464,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
GMP,RM0033601,Nucleic acids,Purines,CHEBI:17345,CHEBI:17345,135398631,RQFCJASXJCIDSX-UUOKFMHZSA-N,C00144,metab-u-rppos,metab-u-ionpneg,metab-u-ionpneg
GTP,RM0136084,Nucleic acids,Purines,CHEBI:15996,CHEBI:15996,135398633,XKMLYUALXHKNFT-UUOKFMHZSA-N,C00044,metab-t-nuc,metab-u-ionpneg,metab-u-ionpneg
Guanine,RM0018303,Nucleic acids,Purines,CHEBI:16235,CHEBI:16235,135398634,UYTPUPDQBNUYGX-UHFFFAOYSA-N,C00242,metab-t-nuc,metab-u-rppos,metab-u-rppos
Heptadecanedioic acid,RM0139430,Fatty Acyls,Fatty acids,CHEBI:165386,CHEBI:165386,3083765,QCNWZROVPSVEJA-UHFFFAOYSA-N,,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Hexadecenoic acid,RM0140626,Fatty Acyls,Fatty acids,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
Hippuric acid,RM0135980,Benzenoids,Benzamides,CHEBI:18089,CHEBI:18089,464,QIAFMBKCNZACKA-UHFFFAOYSA-N,C01586,metab-u-rppos,metab-u-hilicpos,metab-u-rppos
Histidine,RM0129894,Organic acids,Amino acids and peptides,CHEBI:15971,CHEBI:15971;CHEBI:57595,6274,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C00135,metab-u-hilicpos,metab-u-hilicpos,metab-u-ionpneg
