metabolite,refmet_id,super_class,main_class,chebi_id,chebi_all,pubchem_cid,inchi_key,kegg_id,platform_adipose,platform_blood,platform_muscle
Octadecatrienoic acid,RM0139661,Fatty Acyls,Fatty acids,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-rpneg
Octadecenoic acid,RM0140004,Fatty Acyls,Fatty acids,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
Oleamide,RM0150636,Fatty Acyls,Fatty amides,CHEBI:116314,CHEBI:116314,5283387,FATBGEAMYMYZAF-KTKRTIGZSA-N,C19670,metab-t-oxylipneg,metab-u-rppos,metab-u-rppos
Oleic acid,RM0151650,Fatty Acyls,Fatty acids,CHEBI:16196,CHEBI:16196,445639,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,C00712,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Oleoyl-EA,RM0153033,Fatty Acyls,Fatty amides,CHEBI:71466,CHEBI:71466,5283454,BOWVQLFMWHZBEF-KTKRTIGZSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Ornithine,RM0135912,Organic acids,Amino acids and peptides,CHEBI:15729,CHEBI:15729,6262,AHLPHDHHMVZTML-BYPYZUCNSA-N,C00077,metab-u-ionpneg,metab-u-hilicpos,metab-u-ionpneg
Oxidized glutathione,RM0139022,Organic acids,Amino acids and peptides,CHEBI:17858,CHEBI:17858,65359,YPZRWBKMTBYPTK-BJDJZHNGSA-N,C00127,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
Palmitic acid,RM0153571,Fatty Acyls,Fatty acids,CHEBI:15756,CHEBI:15756,985,IPCSVZSSVZVIGE-UHFFFAOYSA-N,C00249,metab-u-rpneg,metab-u-lrpneg,metab-u-lrpneg
Palmitoleic acid,RM0153617,Fatty Acyls,Fatty acids,CHEBI:28716,CHEBI:28716,445638,SECPZKHBENQXJG-FPLPWBNLSA-N,C08362,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Palmitoleoyl-EA,RM0153955,Fatty Acyls,Fatty amides,CHEBI:71465,CHEBI:71465,9835868,WFRLANWAASSSFV-FPLPWBNLSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Palmitoyl-EA,RM0153080,Fatty Acyls,Fatty amides,CHEBI:71464,CHEBI:71464,4671,HXYVTAGFYLMHSO-UHFFFAOYSA-N,C16512,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Pantothenic acid,RM0136730,Organic acids,Amino acids and peptides,CHEBI:46905,CHEBI:46905,6613,GHOKWGTUZJEAQD-ZETCQYMHSA-N,C00864,metab-u-hilicpos,metab-u-hilicpos,metab-u-ionpneg
Paraxanthine,RM0047891,Nucleic acids,Purines,CHEBI:25858,CHEBI:25858,4687,QUNWUDVFRNGTCO-UHFFFAOYSA-N,C13747,metab-u-rppos,metab-u-rppos,metab-u-hilicpos
PC 16:0/16:0,RM0135046,Glycerophospholipids,Glycerophosphocholines,CHEBI:72999,CHEBI:72999,452110,KILNVBDSWZSGLL-KXQOOQHDSA-N,,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PC 16:0_16:1,RM0011316,Glycerophospholipids,Glycerophosphocholines,CHEBI:167246,CHEBI:167246,"","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PC 16:0_18:1,RM0090134,Glycerophospholipids,Glycerophosphocholines,CHEBI:167249,CHEBI:167249,"","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PC 16:0_18:2,RM0104110,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PC 16:0_22:4,RM0171095,Glycerophospholipids,Glycerophosphocholines,CHEBI:167251,CHEBI:167251,"","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PC 18:0_18:1,RM0171088,Glycerophospholipids,Glycerophosphocholines,CHEBI:167255,CHEBI:167255,"","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PC 18:1/18:1,RM0090053,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PC 18:1_18:2,RM0000423,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PC 28:0,RM0134835,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-lrppos,metab-u-rppos
PC 30:0,RM0025459,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-lrppos,metab-u-rppos
PC 30:1,RM0000565,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-lrppos,metab-u-hilicpos
PC 31:0,RM0134906,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-lrppos,metab-u-hilicpos
PC 32:0,RM0134841,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-rppos
PC 32:1,RM0011317,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-lrppos,metab-u-lrppos,metab-u-rppos
PC 32:2,RM0024988,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-lrppos,metab-u-rppos
PC 32:3,RM0097852,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PC 33:0,RM0011313,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-lrppos,metab-u-lrppos
PC 33:1,RM0134891,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PC 33:2,RM0000568,Glycerophospholipids,Glycerophosphocholines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-rppos
