"candidate_id","candidate_name","mapping_status","identity_resolved","source_object","tissue","assay","platform","evidence_layer","interpretation_scope","feature_id","matched_gene","contrast_type","contrast_category","Timepoint","logFC","CI.L_calculated","CI.R_calculated","p_value","adj_p_value","direction","review_direction","direction_comparison"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204388.7","HSPA1B","exercise_with_controls","EE-CON","post_10_min",0.694003305752834,0.513100509948344,0.874906101557325,1.74008877334221e-13,3.57170621616222e-10,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204388.7","HSPA1B","exercise_with_controls","EE-CON","post_3.5_4_hr",0.24403109355161,0.00920014905570912,0.47886203804751,0.0416997340437931,0.190925734969284,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204388.7","HSPA1B","Endur_vs_Resist","EE-RE","post_24_hr",0.00586048532649386,-0.188515460113583,0.200236430766571,0.952806072782159,0.998212104547848,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204388.7","HSPA1B","exercise_with_controls","EE-CON","during_20_min",0.186242725306,-0.00236037740791467,0.374845828019915,0.0529278452857871,0.22225796897219,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204388.7","HSPA1B","exercise_with_controls","RE-CON","post_24_hr",-0.021077352302572,-0.240494472739143,0.198339768133999,0.850437430543787,0.984845742760739,"down","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204388.7","HSPA1B","Endur_vs_Resist","EE-RE","post_3.5_4_hr",-0.0662198414782313,-0.262344759183359,0.129905076226897,0.507554684351305,0.999699063875898,"down","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204388.7","HSPA1B","exercise_with_controls","EE-CON","post_15_30_45_min",0.553152801523773,0.372260008266551,0.734045594780995,3.2502539190199e-09,2.15208748199363e-06,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204388.7","HSPA1B","exercise_with_controls","EE-CON","post_24_hr",-0.0152168669760782,-0.241394254606071,0.210960520653914,0.894932771373008,0.999767340976767,"down","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204388.7","HSPA1B","Endur_vs_Resist","EE-RE","post_15_30_45_min",0.0138344525430067,-0.135450148406809,0.163119053492822,0.855653160509313,0.977321928483749,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204388.7","HSPA1B","exercise_with_controls","RE-CON","post_15_30_45_min",0.539318348980767,0.361732112829825,0.716904585131708,4.1217890290358e-09,9.40042684555433e-07,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204389.10","HSPA1A","exercise_with_controls","RE-CON","post_3.5_4_hr",0.408717648089073,0.242686216806379,0.574749079371768,1.68380656965176e-06,4.52379759799373e-05,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204389.10","HSPA1A","exercise_with_controls","EE-CON","post_15_30_45_min",0.274708529852365,0.144324348258095,0.405092711446635,3.9962919891671e-05,0.00460830839155302,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204389.10","HSPA1A","Endur_vs_Resist","EE-RE","post_3.5_4_hr",-0.0746057781445568,-0.214750418978035,0.0655388626889211,0.296242739139202,0.999699063875898,"down","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204389.10","HSPA1A","exercise_with_controls","RE-CON","post_10_min",0.152493588872208,0.022369963542286,0.282617214202129,0.0216997968626046,0.190264857070406,"up","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204389.10","HSPA1A","exercise_with_controls","EE-CON","post_24_hr",-0.0363625497133686,-0.197949109927658,0.125224010500921,0.658699864814172,0.999767340976767,"down","up","not_applicable"
"T3_13","HSP72","gene",TRUE,"BLOOD_TRNSCRPT_DA","blood","transcript-rna-seq","transcript-rna-seq","RNA","tissue_or_blood_cell_context","ENSG00000204389.10","HSPA1A","exercise_with_controls","RE-CON","post_24_hr",-0.00689189212742214,-0.162933280334821,0.149149496079977,0.930910588193353,0.992307370858785,"down","up","not_applicable"
